session_id,DateTime,user_id,product,campaign_id,webpage_id,product_category_1,product_category_2,user_group_id,gender,age_level,user_depth,city_development_index,var_1,is_click
40,2026-07-06 01:16:00,2881,C,C110,W5,1,15,4,Female,3,3,1,1,0
41,2026-07-02 07:43:00,1420,H,C103,W5,3,,,,,,2,0,0
42,2026-07-07 01:33:00,2752,H,C107,W6,4,,1,Male,6,2,,0,0
43,2026-07-06 14:30:00,1284,C,C110,W3,5,,6,Female,5,2,1,0,0
44,2026-07-03 20:04:00,2949,E,C101,W3,3,,8,Female,5,1,,0,0
45,2026-07-01 13:02:00,2886,G,C101,W5,5,,2,Female,2,3,,0,1
46,2026-07-08 18:22:00,1253,I,C101,W1,5,,4,Female,6,3,4,0,0
47,2026-07-04 13:34:00,3272,G,C102,W2,5,15,5,Male,3,2,4,1,0
48,2026-07-08 03:28:00,2247,C,C101,W4,3,,8,Female,4,1,3,1,0
49,2026-07-06 10:09:00,3360,C,C109,W5,2,,12,Female,5,1,4,1,0
50,2026-07-07 05:26:00,1124,C,C107,W1,5,,11,Male,4,2,1,0,0
51,2026-07-07 01:54:00,1538,H,C110,W4,2,11,3,Male,2,2,,1,1
52,2026-07-02 13:22:00,2481,I,C109,W3,3,,1,Male,2,2,4,1,0
53,2026-07-03 21:52:00,1564,D,C110,W4,1,10,1,Male,3,1,,1,0
54,2026-07-04 17:36:00,1989,C,C103,W6,4,11,8,Male,6,2,,0,0
55,2026-07-04 23:34:00,2981,C,C103,W1,4,,2,Male,5,1,4,1,0
56,2026-07-01 08:24:00,1433,H,C109,W6,1,,3,Female,3,3,2,1,0
57,2026-07-05 08:56:00,3033,H,C103,W3,2,,11,Male,5,3,,0,1
58,2026-07-02 05:37:00,1310,C,C101,W5,3,,11,Female,5,2,4,0,0
59,2026-07-06 22:43:00,1525,B,C107,W3,3,11,11,Female,3,1,2,1,0
60,2026-07-06 11:08:00,2762,F,C109,W2,5,,4,Female,3,3,,0,0
61,2026-07-08 09:07:00,3380,C,C110,W5,2,,8,Female,6,1,,0,1
62,2026-07-06 22:59:00,1511,H,C110,W5,5,,8,Male,4,3,1,1,0
63,2026-07-03 22:23:00,1899,C,C102,W1,3,,3,Female,1,1,2,0,0
64,2026-07-08 17:45:00,3775,C,C108,W5,5,,7,Male,5,2,,0,0
65,2026-07-04 06:52:00,3969,I,C109,W5,2,,7,Female,4,1,2,0,0
66,2026-07-03 14:33:00,2743,C,C107,W3,1,,5,Male,4,1,1,1,0
67,2026-07-08 05:51:00,2341,C,C109,W6,1,,10,Male,5,3,2,0,0
68,2026-07-03 23:07:00,2040,C,C109,W4,2,,9,Female,6,3,,1,1
69,2026-07-01 14:39:00,2837,C,C105,W3,5,,7,Male,2,1,,0,0
70,2026-07-04 18:09:00,2772,A,C101,W1,1,,9,Female,3,3,1,1,0
71,2026-07-07 08:46:00,1884,B,C105,W5,2,15,10,Male,2,1,4,1,0
72,2026-07-02 12:22:00,1068,C,C103,W2,1,,7,Male,4,1,1,1,0
73,2026-07-04 16:53:00,1454,B,C102,W5,5,,4,Female,3,1,2,1,0
74,2026-07-02 00:56:00,3875,F,C102,W4,4,,10,Female,3,2,,0,0
75,2026-07-06 11:48:00,2254,H,C107,W3,4,,9,Male,5,1,1,1,0
76,2026-07-04 19:20:00,2446,C,C106,W1,4,,12,Male,3,2,2,1,0
77,2026-07-03 15:23:00,2401,C,C106,W5,4,,2,Male,3,1,3,1,1
78,2026-07-02 19:33:00,3348,D,C108,W1,4,12,6,Female,3,1,1,1,0
79,2026-07-05 12:23:00,1194,I,C106,W3,1,,12,Female,2,2,1,1,0
80,2026-07-06 08:36:00,1248,H,C107,W6,5,,7,Male,1,3,1,0,0
81,2026-07-08 12:32:00,1827,B,C101,W6,4,,12,Male,5,3,3,0,0
82,2026-07-04 11:55:00,2459,C,C109,W6,4,,1,Male,1,2,4,0,0
83,2026-07-02 06:51:00,3013,C,C105,W6,2,,1,Male,2,1,1,0,0
84,2026-07-07 15:52:00,2472,C,C102,W4,5,,10,Female,5,3,2,1,0
85,2026-07-06 00:54:00,2323,E,C109,W2,2,,5,Female,1,3,,1,0
86,2026-07-06 14:27:00,3813,C,C108,W6,1,,7,Male,4,3,,0,0
87,2026-07-01 18:40:00,1483,B,C101,W5,5,10,6,Female,5,3,1,0,0
88,2026-07-03 11:58:00,2715,C,C102,W6,2,,5,Male,4,3,1,1,0
89,2026-07-07 03:25:00,2626,D,C101,W4,1,10,12,Male,2,3,3,1,0
90,2026-07-07 15:47:00,2420,C,C103,W1,4,,2,Male,1,2,2,1,0
91,2026-07-04 11:33:00,3422,H,C101,W4,2,,10,Male,6,2,2,1,0
92,2026-07-07 10:30:00,1800,B,C108,W3,5,12,11,Male,2,1,2,1,0
93,2026-07-07 17:36:00,3861,I,C106,W6,3,,8,Female,5,1,,1,0
94,2026-07-04 02:23:00,1994,C,C110,W3,1,,,,,,3,0,0
95,2026-07-08 04:25:00,2635,H,C108,W2,5,,2,Male,1,3,2,1,0
96,2026-07-03 07:21:00,2562,I,C107,W1,3,,9,Female,5,3,1,0,0
97,2026-07-02 21:59:00,3549,I,C106,W6,2,13,6,Female,6,1,,0,0
98,2026-07-06 11:02:00,2316,H,C101,W5,4,,2,Female,6,2,4,0,0
99,2026-07-06 02:15:00,1853,H,C101,W1,3,,5,Female,5,1,1,0,0
100,2026-07-02 02:49:00,1064,H,C107,W3,1,,12,Male,2,3,4,0,0
101,2026-07-07 15:53:00,2091,H,C101,W3,4,,4,Female,6,1,3,1,0
102,2026-07-02 14:22:00,3478,C,C101,W3,3,11,,,,,1,1,0
103,2026-07-07 10:32:00,1029,E,C103,W6,4,,9,Female,2,2,4,0,0
104,2026-07-01 01:24:00,3688,D,C109,W1,5,,3,Male,1,3,1,1,1
105,2026-07-07 08:59:00,2628,H,C105,W2,4,13,12,Male,6,3,1,0,0
106,2026-07-07 07:05:00,1420,D,C108,W2,4,,11,Male,2,1,1,0,0
107,2026-07-07 05:49:00,1906,C,C105,W2,2,,12,Male,5,1,,1,0
108,2026-07-06 07:39:00,2662,H,C102,W6,2,,11,Male,1,1,3,0,1
109,2026-07-04 18:32:00,1947,C,C104,W6,3,,3,Male,2,1,2,1,0
110,2026-07-06 15:23:00,1325,C,C101,W1,5,,3,Female,2,2,1,1,0
111,2026-07-03 05:12:00,2997,D,C108,W4,3,,,,,,1,0,0
112,2026-07-07 05:53:00,3016,C,C102,W2,2,,6,Female,5,1,4,0,0
113,2026-07-05 10:41:00,1356,C,C104,W2,4,,11,Male,6,2,4,1,0
114,2026-07-04 16:06:00,1843,C,C110,W2,5,,9,Female,6,1,4,1,0
115,2026-07-05 01:04:00,1731,C,C106,W2,5,11,8,Male,5,1,1,1,0
116,2026-07-05 13:11:00,2978,C,C105,W3,2,,11,Female,2,1,4,0,1
117,2026-07-01 07:09:00,3190,C,C106,W6,4,,8,Male,6,1,3,0,0
118,2026-07-02 02:50:00,3180,H,C108,W4,3,10,5,Male,4,2,3,1,0
119,2026-07-02 23:07:00,3816,C,C103,W5,3,,5,Male,4,3,1,1,0
120,2026-07-01 21:59:00,3305,I,C107,W3,2,,7,Female,5,3,4,0,0
121,2026-07-04 12:24:00,1962,I,C109,W1,1,,2,Male,5,1,,1,0
122,2026-07-06 08:20:00,1323,D,C106,W1,2,,9,Female,6,1,,1,0
123,2026-07-06 05:39:00,2843,C,C105,W2,3,11,8,Female,4,2,1,0,0
124,2026-07-04 18:27:00,3748,E,C102,W2,5,,9,Male,4,2,2,0,0
125,2026-07-07 20:10:00,3925,H,C103,W6,5,,7,Male,5,3,1,1,0
126,2026-07-05 12:31:00,1690,H,C110,W6,1,,10,Male,2,3,,1,0
127,2026-07-01 15:12:00,1709,H,C106,W6,4,,12,Male,2,2,2,0,0
128,2026-07-07 02:52:00,1112,E,C104,W4,1,,7,Male,4,1,4,0,0
129,2026-07-05 14:19:00,1423,H,C105,W4,4,,,,,,,1,0
130,2026-07-06 01:51:00,2664,C,C106,W4,2,,2,Female,2,1,3,0,0
131,2026-07-05 12:33:00,2640,H,C106,W3,3,,10,Male,5,1,4,1,0
132,2026-07-05 10:17:00,2112,C,C107,W5,4,,11,Male,6,3,,1,0
133,2026-07-01 17:23:00,1929,H,C103,W5,3,,9,Female,4,1,4,1,1
134,2026-07-05 11:22:00,3489,I,C107,W5,5,,11,Female,3,3,,0,1
135,2026-07-07 08:37:00,2380,C,C105,W4,3,,11,Male,3,2,4,0,0
136,2026-07-03 10:21:00,3424,G,C110,W1,5,,10,Male,5,2,4,0,0
137,2026-07-05 19:44:00,3889,C,C102,W5,4,,7,Male,4,2,2,1,0
138,2026-07-01 05:55:00,1951,H,C102,W3,2,,2,Female,1,3,,0,0
139,2026-07-03 18:43:00,1608,B,C105,W5,4,14,1,Female,4,1,3,0,0
140,2026-07-04 11:50:00,3858,I,C106,W4,3,,3,Male,3,1,2,0,0
141,2026-07-08 20:41:00,2904,C,C107,W6,3,12,6,Male,5,2,,0,0
142,2026-07-02 17:12:00,1872,I,C105,W3,1,,9,Male,6,2,,0,0
143,2026-07-03 05:05:00,2865,H,C110,W6,1,,6,Female,6,2,,1,0
144,2026-07-04 06:26:00,2545,F,C105,W6,3,,1,Male,4,3,2,1,0
145,2026-07-08 22:35:00,3716,H,C102,W2,1,,3,Male,3,2,4,0,0
146,2026-07-07 19:51:00,1767,H,C102,W3,5,,12,Male,3,1,2,0,0
147,2026-07-01 06:39:00,3974,I,C110,W4,5,,12,Male,2,1,4,0,0
148,2026-07-02 20:54:00,3808,C,C102,W5,4,,5,Female,6,3,3,1,1
149,2026-07-07 13:45:00,1542,F,C110,W5,4,,,,,,2,0,0
150,2026-07-01 11:11:00,1493,C,C103,W6,3,,9,Male,6,2,1,1,0
151,2026-07-07 20:17:00,2599,G,C101,W3,1,,12,Female,2,2,3,0,0
152,2026-07-03 06:01:00,1134,C,C104,W4,2,,,,,,,0,0
153,2026-07-08 08:11:00,1896,E,C107,W3,3,,8,Male,6,3,1,1,0
154,2026-07-03 08:22:00,2305,E,C105,W6,5,,5,Male,4,2,1,1,0
155,2026-07-04 11:23:00,3908,D,C108,W2,2,,8,Female,5,1,4,1,0
156,2026-07-06 07:05:00,3977,D,C107,W4,3,,4,Male,3,2,1,1,0
157,2026-07-02 00:14:00,1454,H,C105,W1,2,15,5,Female,3,2,,1,0
158,2026-07-05 10:57:00,3675,H,C107,W6,1,,8,Female,4,1,4,1,0
159,2026-07-05 00:57:00,1272,D,C110,W3,1,,7,Female,5,2,1,0,0
160,2026-07-07 06:30:00,3245,F,C105,W3,2,15,7,Male,3,1,3,0,0
161,2026-07-08 23:15:00,3536,I,C102,W4,1,11,5,Female,5,2,3,0,0
162,2026-07-06 07:32:00,3672,C,C105,W3,1,,5,Female,2,3,,0,0
163,2026-07-04 06:33:00,1670,C,C109,W6,2,11,1,Male,3,3,,0,0
164,2026-07-04 06:01:00,3680,B,C103,W4,2,15,8,Female,6,1,,0,0
165,2026-07-04 08:14:00,1347,H,C110,W4,3,13,7,Female,6,3,,0,0
166,2026-07-07 12:17:00,2556,C,C106,W1,1,,12,Female,6,1,,1,0
167,2026-07-03 13:40:00,2408,H,C107,W1,2,,7,Male,2,2,4,0,0
168,2026-07-02 08:03:00,1947,H,C104,W3,3,,6,Male,6,1,,1,0
169,2026-07-03 16:11:00,1066,C,C110,W6,5,,1,Female,6,1,,0,0
170,2026-07-01 04:21:00,3316,I,C101,W6,4,,3,Male,6,1,4,1,0
171,2026-07-01 20:22:00,2006,H,C103,W4,5,,5,Female,1,1,4,1,0
172,2026-07-01 17:17:00,2984,C,C105,W4,2,,5,Female,5,3,4,0,0
173,2026-07-07 04:08:00,2230,C,C105,W3,3,,5,Female,6,1,3,0,0
174,2026-07-06 18:41:00,2120,C,C105,W2,3,14,5,Male,5,2,2,1,0
175,2026-07-06 13:46:00,3658,C,C102,W1,5,,10,Female,2,3,4,1,0
176,2026-07-04 16:40:00,1283,C,C103,W3,5,,2,Male,5,3,2,0,0
177,2026-07-06 17:40:00,3209,I,C101,W2,5,13,4,Female,1,3,2,1,0
178,2026-07-02 06:57:00,3240,C,C106,W2,4,14,2,Male,3,1,2,1,0
179,2026-07-08 04:55:00,2139,C,C104,W2,3,10,4,Male,4,3,4,0,0
180,2026-07-05 00:12:00,1787,H,C106,W1,3,13,9,Female,3,2,3,0,1
181,2026-07-08 12:06:00,1015,E,C106,W4,5,11,1,Female,5,1,,0,0
182,2026-07-02 05:14:00,3810,I,C108,W6,2,,5,Female,2,2,2,1,1
183,2026-07-04 23:29:00,3843,H,C106,W5,2,,1,Male,4,3,,1,0
184,2026-07-06 13:41:00,1722,D,C107,W3,5,,12,Female,4,2,,1,0
185,2026-07-04 23:09:00,1095,C,C106,W3,2,,9,Female,4,1,,1,0
186,2026-07-04 13:39:00,1368,J,C107,W2,2,11,3,Female,2,3,3,0,0
187,2026-07-02 07:54:00,1202,H,C107,W1,3,,3,Female,2,3,2,0,0
188,2026-07-04 01:09:00,3493,I,C104,W4,2,,2,Male,2,3,2,0,0
189,2026-07-02 21:50:00,3675,C,C103,W4,5,,6,Male,3,3,4,0,0
190,2026-07-03 09:53:00,1459,H,C108,W1,5,,10,Female,4,3,,1,0
191,2026-07-06 11:16:00,3240,H,C104,W3,2,,8,Female,3,2,1,1,0
192,2026-07-06 01:00:00,1537,C,C106,W2,3,,11,Male,3,1,2,0,0
193,2026-07-05 20:34:00,2101,F,C102,W2,5,12,5,Male,2,2,,1,0
194,2026-07-03 21:28:00,2798,H,C105,W5,4,,4,Female,2,1,1,1,0
195,2026-07-08 16:15:00,3159,A,C106,W4,2,14,6,Female,4,2,2,0,0
196,2026-07-01 16:49:00,3623,D,C107,W4,3,,3,Male,5,2,1,1,0
197,2026-07-03 17:46:00,1134,H,C106,W5,4,,12,Female,2,3,3,1,0
198,2026-07-01 22:39:00,1589,C,C104,W6,4,,3,Female,6,1,3,1,0
199,2026-07-03 17:04:00,1841,D,C110,W5,1,15,6,Male,4,1,4,1,0
200,2026-07-08 16:41:00,1930,D,C106,W4,2,,7,Male,2,3,2,0,0
